"Year","Location Description","Data Source","Topic Description","Measure Description","Sub-Measure","Data Value Type","Data Value"
"2008","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","52.400"
"2008","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","44.200"
"2008","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.390"
"2008","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1055969027.000"
"2008","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.000"
"2007","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.350"
"2007","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","55.000"
"2007","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","44.700"
"2007","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.390"
"2007","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1111162536.000"
"2007","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.000"
"2006","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.293"
"2006","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","56.500"
"2006","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","45.200"
"2006","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.390"
"2006","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1143259559.000"
"2006","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.000"
"2005","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.100"
"2005","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","57.900"
"2005","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","46.900"
"2005","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.390"
"2005","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1106720107.000"
"2005","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.000"
"2004","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.087"
"2004","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","68.500"
"2004","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","47.000"
"2004","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.390"
"2004","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","863990100.000"
"2004","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.250"
"2003","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.334"
"2003","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","72.300"
"2003","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","37.800"
"2003","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.640"
"2003","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","828678247.000"
"2003","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.250"
"2002","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.345"
"2002","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","78.100"
"2002","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","37.700"
"2002","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.640"
"2002","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","584605129.000"
"2002","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.750"
"2016","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","8.318"
"2016","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","29.800"
"2016","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","54.700"
"2016","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","4.553"
"2016","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","566961694.000"
"2016","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","3.543"
"2015","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.920"
"2015","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","30.200"
"2015","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","56.000"
"2015","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","4.436"
"2015","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","556668455.000"
"2015","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","3.426"
"2014","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.814"
"2014","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","31.400"
"2014","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","55.700"
"2014","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","4.352"
"2014","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","566700869.000"
"2014","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","3.342"
"2013","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.616"
"2013","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","43.100"
"2013","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","56.900"
"2013","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","4.333"
"2013","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","372223925.000"
"2013","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.600"
"2012","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.809"
"2012","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","37.900"
"2012","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","44.900"
"2012","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.610"
"2012","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","322516525.000"
"2012","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.600"
"2011","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.907"
"2011","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","51.500"
"2011","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","43.900"
"2011","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.596"
"2011","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","430295481.000"
"2011","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.576"
"2010","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.785"
"2010","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","46.500"
"2010","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","44.800"
"2010","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.590"
"2010","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","380217228.000"
"2010","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.560"
"2009","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.671"
"2009","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","48.700"
"2009","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","44.300"
"2009","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.514"
"2009","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","382044989.000"
"2009","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.560"
"2008","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.814"
"2008","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","50.900"
"2008","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","39.100"
"2008","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.883"
"2008","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","394520391.000"
"2008","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.493"
"2007","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.610"
"2007","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","53.000"
"2007","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","40.800"
"2007","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.883"
"2007","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","408644067.000"
"2007","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.493"
"2006","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.589"
"2006","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","55.600"
"2006","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","41.000"
"2006","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.883"
"2006","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","390965068.000"
"2006","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.485"
"2005","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.467"
"2005","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","65.700"
"2005","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","42.000"
"2005","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.875"
"2005","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","160653128.000"
"2005","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.480"
"2004","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.515"
"2004","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","73.000"
"2004","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","24.800"
"2004","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.870"
"2004","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","177195124.000"
"2004","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.480"
"2003","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.429"
"2003","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","71.700"
"2003","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","25.400"
"2003","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.870"
"2003","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","171131889.000"
"2003","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.480"
"2002","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.523"
"2002","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","71.000"
"2002","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","24.700"
"2002","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.870"
"2002","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","169427723.000"
"2002","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.480"
"2016","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","10.226"
"2016","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","14.000"
"2016","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","52.400"
"2016","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","5.360"
"2016","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1208849771.000"
"2016","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","4.350"
"2015","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","10.155"
"2015","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","14.600"
"2015","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","52.800"
"2015","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","5.360"
"2015","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1257371747.000"
"2015","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","4.350"
"2014","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","10.066"
"2014","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","15.400"
"2014","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","53.200"
"2014","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","5.360"
"2014","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1326507365.000"
"2014","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","4.350"
"2013","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","10.030"
"2013","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","16.600"
"2013","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","53.400"
"2013","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","5.360"
"2013","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1425269207.000"
"2013","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","4.350"
"2012","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","9.967"
"2012","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","18.000"
"2012","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","53.800"
"2012","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","5.360"
"2012","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1531170092.000"
"2012","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","4.350"
"2011","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","9.849"
"2011","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","18.300"
"2011","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","54.400"
"2011","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","5.360"
"2011","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1543947044.000"
"2011","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","4.350"
"2010","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","9.653"
"2010","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","24.100"
"2010","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","55.500"
"2010","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","5.360"
"2010","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1299942364.000"
"2010","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.750"
"2009","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.613"
"2009","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","24.800"
"2009","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","49.400"
"2009","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","3.760"
"2009","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1330335699.000"
"2009","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.750"
"2008","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","6.733"
"2008","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","31.500"
"2008","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","46.600"
"2008","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","3.140"
"2008","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","959566346.000"
"2008","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.750"
"2007","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.472"
"2007","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","32.300"
"2007","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","34.500"
"2007","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.890"
"2007","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","936456574.000"
"2007","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.500"
"2006","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.444"
"2006","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","32.400"
"2006","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","34.700"
"2006","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.890"
"2006","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","941501119.000"
"2006","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.500"
"2005","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.457"
"2005","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","32.400"
"2005","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","34.600"
"2005","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.890"
"2005","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","939725433.000"
"2005","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.500"
"2004","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.485"
"2004","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","33.700"
"2004","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","34.500"
"2004","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.890"
"2004","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","977115124.000"
"2004","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.500"
"2003","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.540"
"2003","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","35.300"
"2003","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","34.100"
"2003","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.890"
"2003","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1015809692.000"
"2003","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.500"
"2002","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.684"
"2002","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","46.500"
"2002","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","33.300"
"2002","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.890"
"2002","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1066093134.000"
"2002","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.500"
"2016","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","6.227"
"2016","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","50.800"
"2016","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","41.900"
"2016","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.610"
"2016","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","944424423.000"
"2016","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.600"
"2015","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","6.072"
"2015","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","52.400"
"2015","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","43.000"
"2015","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.610"
